AverageTime,minimum,maximum,imagesize,vmType,noVMreq,CPUUtilization,MemoryUtilization,NetworkUtil
103.58,103.58,103.58,894.56,4,4,99.9875,35.32951193,0.002116
21.662,18.28,24.14,12.7,1,20,73.005,34.79746446,96.7715208
6.12,6.12,6.12,12.7,2,3,98.7797,38.38041935,0.0167464
87.635,86.77,88.5,572.49,3,9,27.0563,6.939523888,0.0025088
105.68,105.68,105.68,894.56,4,4,72.8144,10.15139388,0.0064032
12.30333333,11.19,13.3,12.7,1,11,98.1031,41.87017245,96.4208664
14.8325,11.09,18.13,12.7,2,15,28.9944,6.808824843,0.0041592
86.455,86.04,86.87,572.49,3,5,98.6652,31.85348814,0.0030432
106.08,106.08,106.08,894.56,4,4,99.9708,49.15071455,0.006348
8.68,7.71,9.65,12.7,1,5,97.974,71.09649167,96.4275368
7.92,7.92,7.92,12.7,2,4,51.4193,17.15009157,0.0025736
73.15,73.15,73.15,572.49,3,1,50.74,16.64939021,0.0027488
110.18,110.03,110.33,894.56,4,5,99.9853,66.6246258,0.0040936
8.79,8.79,8.79,12.7,1,2,73.5165,37.58552213,95.7385552
13.24333333,12,14.69,12.7,2,12,99.9792,42.51736892,0.0027256
75.22,75.22,75.22,572.49,3,2,27.1258,8.300225943,0.0027936
107.81,107.81,107.81,894.56,4,4,27.5744,8.153238726,0.0040344
6.12,6.12,6.12,12.7,1,2,98.4404,63.84308832,97.7743176
8.995,8.29,9.7,12.7,2,6,27.1857,65.24989918,0.0025648
105.85,105.85,105.85,894.56,4,1,100.4269,51.61042532,0.0021056
17.4275,11.83,22.01,12.7,1,14,98.4196,71.02747608,98.1007672
17.04,17.04,17.04,12.7,1,1,98.6132,56.73160365,49.0035768
13.25,8.28,17.13,12.7,2,15,29.4749,57.86901997,0.0027744
81.4,81.4,81.4,572.49,3,3,98.5903,21.29710437,0.002912
114.425,112.47,116.38,894.56,4,5,100.2374,23.65640422,0.0044376
10.17,8.35,11.24,12.7,1,9,98.2531,54.11801642,48.7358792
6.53,6.53,6.53,12.7,2,4,39.6127,13.68533663,0.0031968
73.42,73.42,73.42,572.49,3,3,38.2172,12.6042892,0.002412
104.3,103.58,105.02,894.56,4,5,99.9875,33.33418629,0.0038368
17.09,13.64,18.59,12.7,1,14,72.8992,52.08076473,49.1897992
7.025,6.27,7.78,12.7,2,5,99.8771,65.59155712,0.0065272
89.005,88.57,89.44,572.49,3,10,29.3091,6.833207891,0.0025224
106.82,106.82,106.82,894.56,4,2,72.6785,9.427751256,0.0064968
11.48,11.01,11.95,12.7,1,7,90.7226,15.25997472,49.4737888
11.165,9.87,12.46,12.7,2,7,25.2848,16.52941873,0.0029496
87.46,87.14,87.78,572.49,3,5,99.979,45.79759019,0.0023936
106.85,106.85,106.85,894.56,4,2,100.1517,67.84121936,0.0064128
10.805,10.29,11.32,12.7,1,7,98.5839,67.09314448,48.8222824
12.00333333,8.7,15.07,12.7,2,11,88.339,13.33088437,0.0028096
81.15,80.11,82.19,572.49,3,6,90.6769,14.20921541,0.002924
101.74,101.74,101.74,894.56,4,2,99.9854,25.75580684,0.0057752
6.75,6.75,6.75,12.7,1,2,71.4432,47.03116085,49.522392
12.94666667,12.22,14.34,12.7,2,11,100.0416,57.94962428,0.0025696
77.21,77.21,77.21,572.49,3,4,29.4714,7.596340722,0.0029656
116.73,116.51,116.95,894.56,4,5,27.8842,7.412569794,0.0045352
16.6775,11.43,20.09,12.7,1,14,98.7195,37.92607286,49.795748
16.40333333,13.71,18.15,12.7,2,12,29.2982,7.347171062,0.0080264
77.22,77.22,77.22,572.49,3,4,90.9117,27.04247399,0.0032824
107.5,107.5,107.5,894.56,4,3,99.9916,46.38101183,0.0044864
29.392,15.56,66.13,12.7,1,20,89.0153,24.91177445,48.6463528
6.49,6.49,6.49,12.7,2,2,99.9315,47.42441439,0.0158144
